,tag,sample.number,partner.sample,substrate,site,species,rh,dbh,growth.per.yr,elevation,latitude,longitude,L.C,L.N,L.P,K.P,L.S,L.Ca,L.Mg,L.Mn,L.Cu,L.Zn,L.B,L.Mo,L.Na,L.Fe,moist,rocks,C,N,OM.new,CN.ratio,NO3,pH,P,K,Mn,Cu,Zn,Fe,B,Ca,Mg,CEC
Needles-A1,4058,16,289,needle,rs08,psme,57,10.4,0.049988595,500,44.202,122.256,46.27,0.746,0.203930131,0.31426492,0.106,0.550557982,0.083357593,217.85541,2.426006793,7.278020378,5.822416303,0,109.1703057,38.81610869,70.73170732,40.38029525,16.774,0.582,33.548,28.82130584,0.689659911,5.89,114.8,185.3,156.1,2,4,306.8,1.649484536,13.4225,2.034166667,15.93179487
Needles-B9,78,117,241,needle,rs08,tabr,57,13.5,-0.049988595,500,44.202,122.256,45.876,2.292,0.090983213,0.269928058,0.168,0.600719424,0.113189448,383.2134293,2.398081535,31.65467626,8.633093525,na,47.9616307,27.8177458,53.39233038,31.15591815,5.327,0.223,10.654,23.88789238,0.661099339,6.25,28,98.95238095,65.52380952,0.952380952,2.380952381,161.2380952,0.664652568,8.05952381,1.565079365,9.878327228
Needles-C1,251,12,287,needle,rs08,tshe,57,25.5,0.416571624,500,44.202,122.256,46.03,0.935,0.224317618,0.233498759,0.11,0.561091811,0.111414392,490.3225806,5.955334988,5.955334988,17.36972705,0.496277916,118.6104218,56.07940447,214.0495868,0,16.796,0.597,33.592,28.13400335,1.179031877,6.1,28.27272727,116.2727273,116.8181818,1.909090909,5,117,3.947368421,12.97909091,2.604545455,15.88177156
Needles-E1,29,9,288,needle,rs08,tshe,57,25.4,0.366583029,500,44.202,122.256,46.805,0.976,0.293952588,0.313884857,0.129,0.65549105,0.136526367,743.5897436,4.35413643,5.805515239,34.83309144,0.483792937,147.0730527,42.57377842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Needles-E7,910,92,233,needle,rs08,tshe,57,25.2,0.399908759,500,44.202,122.256,46.822,0.718,0.147857838,0.141480039,0.103,0.649805258,0.160418695,468.8412853,5.842259007,6.815968841,14.60564752,0.486854917,170.399221,61.83057449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Needles-E9,32,114,203,needle,rs08,psme,57,9.7,0.09997719,500,44.202,122.256,46.542,0.84,0.124663677,0.265022422,0.108,0.685849527,0.130044843,258.0966617,1.494768311,8.968609865,8.968609865,na,49.32735426,40.35874439,49.23076923,19.32254376,5.561,0.234,11.122,23.76495726,0.379259341,6.42,58.57142857,132.8571429,32.57142857,0.857142857,1.333333333,153.8095238,0.99009901,6.564761905,1.180952381,8.086373626
Needles-F6,19,81,204,needle,rs08,tabr,57,8.4,0.016662865,500,44.202,122.256,47.648,1.236,0.121805624,0.033941786,0.128,0.738480513,0.193191909,231.3764184,4.933399112,22.69363592,14.80019734,0.493339911,44.89393192,72.02762704,100,50.29077118,16.426,0.476,32.852,34.50840336,1.394366197,6.03,52.9,167,124.6,1.2,4.7,207.4,1.490196078,10.4155,1.778333333,12.62203846
C11,653,317,26,soil,rs17,tabr,57,10.4,0.280038335,500,44.221,122.239,49.026,1.11,0.097130134,0.055764473,0.097,0.459030183,0.089559624,669.9653637,3.958436418,33.151905,7.422068283,0.494804552,88.57001484,61.35576447,66.66666667,11.76540566,5.055,0.259,10.11,19.51737452,0.679861111,5.89,84.36363636,80.18181818,69.27272727,0.545454545,3,152.3636364,0.7,1.431363636,0.372727273,2.009685315
D11,211,316,43,soil,rs17,tabr,57,15,0.040005476,500,44.221,122.239,47.997,1.673,0.17972973,0.156660232,0.101,0.334073359,0.104826255,229.2471042,2.895752896,29.44015444,9.16988417,0.482625483,106.1776062,66.11969112,46.91943128,0.68878357,2.506,0.182,5.012,13.76923077,3.060476604,6.1,32.7,89.4,71.5,0.6,1.4,91.7,0.303030303,2.24,0.7775,3.246730769
E6,717,259,98,soil,rs17,tabr,57,12.7,0.080010953,500,44.221,122.239,48.187,1.018,0.091814596,0.131213018,0.116,0.417061144,0.117455621,585.7988166,5.424063116,24.1617357,4.930966469,na,67.55424063,20.71005917,50.23474178,1.401355851,10.842,0.301,21.684,36.01993355,0.374084507,6.21,45.33333333,129.6190476,56.85714286,0.952380952,4.666666667,244.5714286,0.634920635,2.718095238,0.566666667,3.617118437
